"attendance" "achieved_points"
76.6297282873379 0
42.6409126940485 45.5064984598273
58.93291734042 65.8204493025443
63.6692665866942 77.6009778399971
59.6553062509446 43.162913307594
50.6931546344723 38.2460662708379
79.0979287647649 64.4120865577284
50.8944806355649 39.2848508393254
87.9987786360129 71.8880973548136
51.4554120748851 47.6371462576392
75.4692539687368 57.073225753888
92.708569149651 0
28.1691784137642 32.1820643825602
47.6612876590715 45.6065407174897
50.2155969410678 52.8775122683063
63.7234861365708 59.2169716632277
47.5653408153755 45.0946463266889
5.91107603892875 27.3308607997342
9.70368727261876 14.8485071653242
75.7369228386278 56.5309104083607
47.1722636069671 49.5066187328032
21.2780627609861 22.6327401564921
49.537877054029 43.0789615170995
73.885491815211 57.0531642620169
85.834939093698 79.9913445789274
44.9978834692253 42.714015472303
48.0391534277709 51.3660179153107
21.5966827619866 23.9482437404595
60.6356261303564 50.4719089790304
41.3187537007164 52.8283664455416
60.5540238998676 53.9324787660514
64.9330940026682 68.4556391876127
70.7323439018138 53.3826548736397
41.8642954698178 37.6130953015191
61.4232980788495 54.6311175657022
22.4071227870673 23.1521151066207
38.7820616502723 51.7510569583543
37.615269613165 38.345538446943
10.1647823709849 19.410537010693
53.1909175049395 42.0901336085508
56.1738245737663 46.354404686246
46.2167081156964 54.3431839475678
65.8694605627823 72.0141630944553
39.79618584939 51.6306647152904
28.5305432083317 18.9004940217096
60.1566196412638 74.7793942949
38.3091159562959 48.3591340794115
77.9140664352999 69.6787513534648
44.9807267659313 50.6978565000052
64.0693606011799 50.2937086431542
58.2094180780118 44.5952835759794
38.7929496144294 39.9166650889036
80.2253341312039 60.8002769714942
63.8455042354084 60.7025250273598
54.1327650531742 63.2355537152512
57.4126723602084 44.5426212107676
64.4844793224969 52.7395048830248
54.134033538151 51.8357537383938
0 0
57.558980242834 50.5848820994515
46.1082381471093 53.1168543502522
55.8091519781922 61.5501781201496
62.7730585598856 61.6339329148175
77.1350570974616 52.443875349656
39.7858744473101 39.7505763262674
75.4283930396973 0
58.4538939479751 62.184179108447
70.7920908382445 62.6395707241124
68.7239973945585 38.1659270424421
65.2147600065207 60.5924112567334
34.2401689486816 41.153945279098
50.9730173635507 49.3682392704827
63.5051845146997 60.1404946822243
35.8134064973563 41.0829335091332
43.0249237469667 39.1504569289208
62.7585329684623 70.0618193948946
66.0453259781056 64.9697587722026
60.700072941594 45.1989688380972
37.0029988659592 50.6657131659318
33.2452234124411 46.1266605257741
79.1187367770939 0
57.0855543331896 38.5585736330104
54.1095794197075 46.2047202781244
50.4337679704777 54.322098531226
31.5850248072755 34.2573460710938
63.3028789444048 61.719819987441
48.7438008433469 69.6281721530879
49.3475454196762 40.2282382813179
68.9455566955556 0
66.9864067628857 0
77.0012471471443 62.9460635533345
44.1953383724398 47.7394709263797
63.9763080941003 51.670136206176
76.9835838831313 89.3548311045455
33.0519307458168 33.8735544055081
37.4416958548611 34.0682379349328
32.6840664614809 33.1994240439222
26.9338222754634 38.0983077283187
53.961068374729 52.163806254642
64.0264536324439 44.298751979195
73.644765404129 66.556810595988
70.9017485944081 71.3912666896787
34.9409665657914 36.8265539403216
85.014715832069 82.1476704477794
40.8485408518046 39.7351044148103
54.4093799466303 51.0982959174338
45.1421025564694 48.8074829846484
50.408243137391 57.5592391923072
55.8611709329956 41.3983442670942
54.649014553679 51.507169870649
52.1160209098123 49.193966366518
54.4543127646405 44.7452427955356
44.0327160097628 34.1230226777932
43.7029186923378 37.5442792590876
23.3888573765032 32.8260802603869
45.8431084844912 41.1640003786904
43.5548387063597 36.0242962124369
100 88.6033543765537
28.6387931417238 20.2962261209584
54.9667550394909 61.5899737694687
26.3295872954104 25.3522393668871
